"","Z_score","log_fc","conv","d","p_val"
"Tnnt2",6.52712076449836,0.445635894812898,TRUE,-1.09890563168152e-05,6.70459243679034e-11
"Rps11",6.5112061256615,-0.43848226514502,TRUE,4.10528051539294e-07,7.45496997467399e-11
"Rps15a",6.49444099065715,-0.61986979797981,TRUE,-3.29839870197995e-06,8.33422220125613e-11
"Slc20a1",6.4915815991753,1.07488681555123,TRUE,1.15591564098239e-13,8.49398329449969e-11
"Wfdc2",6.47131737801324,-0.58301888208108,TRUE,-4.21593367197076e-05,9.71520641712686e-11
"Vamp8",6.43209293077323,-0.575559788682462,TRUE,-1.01675612373953e-13,1.25858656829791e-10
"Naca",6.395252272406,-0.482285646695471,TRUE,-2.77219232834511e-05,1.60282453975924e-10
"Blvrb",6.32499322693349,-0.910319636994391,TRUE,1.09270231751779e-14,2.53243648273838e-10
"Myo10",6.2839827369446,0.839702645566954,TRUE,-8.06292313471069e-09,3.30007354776285e-10
"Rpl23",6.19955034175035,-0.520984895350573,TRUE,8.5417783957098e-15,5.66247049249569e-10
"Ndufa6",6.09236551288709,-0.478881735079719,TRUE,2.82652279934986e-06,1.11254294665741e-09
"Igfbp6",6.03436676937824,-0.7809108691472,TRUE,1.29831997458529e-07,1.59587232317904e-09
"Ccl2",5.95413124437639,1.20912125470904,TRUE,4.77604067405935e-14,2.61456922778791e-09
"Rplp2",5.92950353693378,-0.424437420752644,TRUE,7.18980341027353e-07,3.03851965810509e-09
"Myh9",5.89041226468117,0.442622136356849,TRUE,7.08771320431789e-06,3.85233356325898e-09
"Lmo4",5.83489356573886,-0.967104622254548,TRUE,-8.90468254688415e-14,5.38249156356585e-09
"Prr13",5.81768365826258,-0.567712234681726,TRUE,-5.54903345495461e-14,5.96686877685215e-09
"Rpl41",5.762736289184,-0.409090071217671,TRUE,-8.09146499261559e-07,8.27610557863068e-09
"Rps10",5.6427416589616,-0.569276068482237,TRUE,-3.19185296249191e-10,1.67363380931818e-08
"Ccnd2",5.63295656232325,-0.413784702287219,TRUE,1.48880907602233e-13,1.77146088908842e-08
"Col7a1",5.46197237293198,1.24564492592446,TRUE,1.1055434174026e-08,4.70873371405389e-08
"Spred1",5.40567069192974,0.911034073192709,TRUE,-0.000116365314124074,6.45663282838882e-08
"Rps28",5.40416395161404,-0.584684773168546,TRUE,-4.07524014534033e-11,6.51113689631444e-08
"Morc4",5.36448032972794,-1.28646973928232,TRUE,-6.96912183344167e-10,8.1182605748964e-08
"Ext1",5.35721269997309,0.672601816938859,TRUE,-3.12449233152989e-11,8.45156056250573e-08
"Podxl",5.34225405340027,-0.689678508183114,TRUE,-3.79039774857023e-06,9.1797875301225e-08
"S100a1",5.31792452567296,-0.770540990190703,TRUE,2.2427025514471e-13,1.0495758617779e-07
"Nupr1",5.29051643672399,-0.533442714958425,TRUE,-7.71624440086549e-07,1.21971459376979e-07
"Sbno1",5.24087140030042,0.708403438498715,TRUE,1.61392006567812e-05,1.59820070066985e-07
"Timp3",5.22952490189672,0.51669829401219,TRUE,3.51349352389896e-10,1.69946210215599e-07
"Fam162a",5.22001915453081,-0.478712112928994,TRUE,-1.38475825983697e-06,1.78904626224607e-07
"Bsg",5.20745178226187,-0.486544266785798,TRUE,9.25600042021857e-07,1.91451564823808e-07
"Rpl27a",5.20309339068373,-0.809976091716629,TRUE,-1.25129735406744e-06,1.95998309804324e-07
"Kazald1",5.19911411961472,-0.766647872323204,TRUE,2.89738719128074e-13,2.00240564574017e-07
"Cdk2ap2",5.18863714676097,-0.814192722152936,TRUE,-9.02894477933236e-11,2.11838716346335e-07
"Rpl39",5.17355490331327,-0.422040558142897,TRUE,1.49670462131768e-05,2.29681590857567e-07
"Enah",5.1611451534793,0.995873724506552,TRUE,-4.68406563536305e-13,2.45443770863218e-07
"Etfb",5.15532529969937,-0.425716401549812,TRUE,-1.6070793736403e-05,2.53190999277564e-07
"Sptssb",5.13340113670053,-1.06317654032008,TRUE,3.93652124786037e-14,2.84552531315541e-07
"Mt2",5.09370502398972,-0.460212770324072,TRUE,-0.000825968639233975,3.51132943610111e-07
"Lyar",5.0863723788058,0.784560519535111,TRUE,9.57059778650127e-12,3.64977115419052e-07
"St3gal5",5.07983735686031,-0.900641858952561,TRUE,-9.84253824276582e-12,3.77758139213924e-07
"Krt14",5.07707742595845,-1.33689866883587,TRUE,-4.19282664143594e-14,3.83284712635046e-07
"Aqp5",5.04999013980627,-0.443923983880458,TRUE,-8.81227198233636e-07,4.41832870068382e-07
"Pmepa1",5.02531006187398,0.657059974114928,TRUE,1.12066246957601e-06,5.02619805775595e-07
"Mgst2",5.01545615219057,-0.753069166653778,TRUE,-1.32640927514097e-07,5.29077900823793e-07
"Baz1b",5.0130343864478,0.606214658328969,TRUE,-1.53117511725309e-10,5.35783173605253e-07
"Zfpm2",4.97303209703223,0.663236616849732,TRUE,-1.46530565459102e-11,6.591374261955e-07
"Nkx2-3",4.9425040293546,-1.58942047287287,TRUE,-1.70588369818869e-14,7.71255108666935e-07
"Uqcr10",4.87015392547577,-0.541566217730033,TRUE,1.58181291160658e-06,1.11511346911897e-06
"Ankrd17",4.83844407574983,0.750993502361715,TRUE,4.125064282854e-06,1.30859504543501e-06
"Hsph1",4.83787179853208,0.668228951386537,TRUE,1.06392742009707e-05,1.31236740852358e-06
"Slc7a11",4.83235441317305,-1.44944072162,TRUE,4.11136207544016e-11,1.34927776951344e-06
"Cox14",4.78607802319718,-0.510916328809609,TRUE,-1.13985210159484e-13,1.70071963423446e-06
"Myl6",4.75844688050123,-0.429407512517322,TRUE,-0.0029605780524523,1.95088215915185e-06
"Cdk6",4.74453111838782,0.647294413071754,TRUE,2.1981043988456e-07,2.08989851557817e-06
"Fip1l1",4.72794657871384,0.727561282684692,TRUE,-0.0162776673061765,2.26801834246615e-06
"Abr",4.72576003612016,0.776634301823287,TRUE,-1.53416853071013e-05,2.29256250205978e-06
"Sqstm1",4.7200735399385,-0.435905455640733,TRUE,-0.00556176534317792,2.35759393207857e-06
"Prrc2c",4.70901333500513,0.475900171880787,TRUE,1.13365566933865e-12,2.48918787737473e-06
"Rpl7",4.65492204973749,-0.457653206807844,TRUE,-1.24430455117341e-06,3.24103300552991e-06
"Pck2",4.65264268076445,-0.879224519687509,TRUE,1.96435524096872e-11,3.27707833025492e-06
"Pbx1",4.64594042162602,0.792308257162098,TRUE,-0.000870663123875962,3.38530701959883e-06
"Rps4x",4.6361310182172,-0.535948079277937,TRUE,4.52418817686873e-09,3.54991005546701e-06
"Dnajc10",4.62791424337779,-0.738169196590604,TRUE,2.98018727751259e-12,3.69366897112755e-06
"Msn",4.62341891886173,0.598719951504196,TRUE,-6.80923779305953e-08,3.77466325485187e-06
"Cux1",4.61525526633823,0.82780898378998,TRUE,1.54485967675255e-06,3.92612449862106e-06
"Mgp",4.60870674349192,0.60543946704059,TRUE,1.35150763448666e-07,4.05181349005801e-06
"Rpl18a",4.56163282186402,-0.561509155587087,TRUE,2.61526911238263e-13,5.07573518770954e-06
"Ube2k",4.52554407850306,0.5201942272435,TRUE,-6.80572272149238e-10,6.0240323598304e-06
"Gstm1",4.4874082808889,-0.514457191704389,TRUE,-2.89703215776774e-06,7.20948328880588e-06
"Col6a2",4.46831452945611,0.720820890510119,TRUE,-1.03635849901806e-13,7.88383265892811e-06
"Aldh3a1",4.45737819118986,-0.507787192714467,TRUE,-7.29114477127091e-11,8.29681535252647e-06
"Ssr3",4.4572509828887,-0.506230030282108,TRUE,-0.0239547612078813,8.30173857457872e-06
"Lrp1",4.43001769651869,0.851725252133165,TRUE,1.06221736267953e-10,9.42253557734141e-06
"Ddit3",4.41743111386099,-1.43630834788068,TRUE,6.29041678554959e-09,9.98808876628843e-06
"H2afv",4.41427893021731,-0.525757798287592,TRUE,-3.558166005415e-06,1.01347220071712e-05
"Kif26b",4.40574712598633,1.16967015070123,TRUE,-5.26855710100693e-10,1.05419888314362e-05
"Ahr",4.3982588762728,0.809505122453391,TRUE,-0.00363632249938538,1.09122771785319e-05
"Atp5h",4.38818674888745,-0.488463788132627,TRUE,1.15242929404208e-07,1.1429961253917e-05
"2010107E04Rik",4.37030423479441,-0.519001203873892,TRUE,-7.65477122660618e-10,1.24073546488024e-05
"Nfkb1",4.34237221637284,0.765213506798716,TRUE,2.29405303121821e-08,1.40952468530298e-05
"Rnh1",4.33869636904848,-0.584580482024046,TRUE,-1.03418805463829e-09,1.4333038283354e-05
"Mgst3",4.30319801248263,-0.865560759726173,TRUE,5.86830931070814e-14,1.68350262106376e-05
