"","sig_p","mean_est","sd_est","Z_est","ct_prop","expr","q_val","p","mean 1","mean 2","mean 3","mean 4","sd 1","sd 2","sd 3","sd 4"
"Malat1",0,-0.786327807480356,0.213318064914454,-3.68617541976903,1,0.0133422856989797,0.00309528419863092,0.000227649463075519,-0.702914627226619,-1.36084366910533,-0.491492078734736,-0.878656495415707,0.412469999605019,0.515603825005329,0.37120206508222,0.443718948302809
"Ctsz",0.267604830126064,0.772613514597079,0.211002642937298,3.661629559904,1,0.00103571632971224,0.00309528419863092,0.000250616065310627,1.05963265615876,1.21897607070511,0.320219207674104,0.527005480776293,0.301431407599325,0.347002418058987,0.282573175803821,0.388353955054314
"Eef1a1",0,0.749819073083301,0.195824757543319,3.82903103003935,0.805738317981138,0.000342761347018403,0.00195941998707916,0.00012864878703045,0.716463164270283,1.15035259912811,0.521350615631618,0.456932973766902,0.400333605155331,0.353254012991292,0.373571093147287,0.463307544394513
"Eef1b2",0,0.681209245226127,0.1852558109477,3.67712754456291,1,0.000270171801992634,0.00309528419863092,0.000235875117654993,0.275125646459869,0.930406056403833,0.728193381424623,0.666110036224851,0.421228648658916,0.354580509348529,0.338640338108137,0.382694957454986
"Rps9",0,0.647055807953066,0.179725208066724,3.60025071003308,1,0.0009809438621013,0.00314731393843028,0.000317910498831342,0.105194069471128,0.671842131662952,0.687170465931974,0.942676546532788,0.464938917778268,0.314331744868598,0.317370996027832,0.398931203368347
"Rps5",0.243302152356071,0.596495447192626,0.181205413621262,3.29181913096351,1,0.000753419980837358,0.00831248318206196,0.00099541607542597,0.646205965865757,1.03971456947063,0.500094170128062,0.162475911407388,0.289079042426828,0.256711012030764,0.246264836549647,0.285321049637884
"Grn",0,0.54674991115306,0.160306696931814,3.41064922188259,1,0.00135561912609032,0.0061105072282035,0.000648084099960977,0.356184282829846,0.31947499864295,0.664734545377837,0.942128851016131,0.313327634308223,0.310293329376641,0.306643773918181,0.360230465644133
"Serinc3",0,-0.506067656286432,0.139756981986134,-3.62105455551868,1,0.00227297973563234,0.00309528419863092,0.000293404630629546,-0.364708300436778,-0.754152368107319,-0.354222495234208,-0.693049411117695,0.269593951626071,0.285686290351271,0.241612040826566,0.352309148700361
"Ftl1",0,0.499802542447563,0.151989427342724,3.28840335269208,1,1.33673201212682e-05,0.00831248318206196,0.00100757371903781,0.567004162544575,0.508934387051128,0.256462918681562,0.939167505006448,0.302122732936905,0.312557603311,0.25452572891128,0.387470205885349
"Rpl4",0,0.49649380292489,0.116370859550215,4.26647878037412,1,0.000661636337855492,0.000436881220729379,1.98582373058809e-05,0.575410012603084,0.669850055773639,0.40609327049206,0.328696638569017,0.231667246591044,0.236104001520781,0.215025805548784,0.252828791306427
"B2m",0,0.495404812043304,0.128694505750894,3.84946357385471,1,0.00305777318721991,0.00195321695819595,0.000118376785345209,0.536192011557278,0.265382838888709,0.733418565568603,0.3425424127274,0.245769101144854,0.270623910165433,0.23501269676588,0.287925974149589
"Cx3cr1",0.108061608013222,-0.472325574512648,0.129957458106593,-3.63446301115892,1,0.0063090161267208,0.00309528419863092,0.000278560216355528,-0.219870738751106,-0.830472736045416,-0.51730675715698,-0.354160629268291,0.241768799868704,0.264397212703697,0.203496765176588,0.245943707262176
"Rps3",0.0709092095071102,0.467563670084425,0.129236801450557,3.61788333382194,1,0.000984342500465143,0.00309528419863092,0.000297022221080745,0.835673272858626,0.549126410847696,0.289883295233311,0.27523470293816,0.268475838311742,0.253734111551777,0.208941373973604,0.280379341734751
"Itm2b",0.18326008540413,0.432423410605018,0.13133176482519,3.29260336355488,1,0.00360587852621623,0.00831248318206196,0.000992644025477274,0.739326117957403,0.285523758689286,0.168754617099814,0.585663695274774,0.196603380055138,0.197031211841514,0.164719915722931,0.196469786682231
