"","sig_p","mean_est","sd_est","Z_est","ct_prop","expr","q_val","p","mean 1","mean 2","mean 3","mean 4","sd 1","sd 2","sd 3","sd 4"
"Xpot",0,1.20454906387704,0.32248002157793,3.73526725154337,1,7.51106115286204e-05,0.00843821733270356,0.000187515940726746,1.42474903262997,0.00733346931576507,1.05142474593578,1.3863009625077,0.705097457068313,1.34523520471831,0.561259886702663,0.507835615117181
"Trnp1",0,-1.1409493867075,0.198639869803241,-5.74380857094625,1,0.000175491645584695,1.2497008827772e-06,9.25704357612744e-09,-1.02356578619874,-0.65587921060289,-1.39357746301359,-1.07997023059908,0.498675984569276,0.837476445622862,0.363234270922049,0.284933539173543
"Ehd3",0,-1.10926021731777,0.276637961379841,-4.00979031144134,0.587863630124961,0.000235175993831331,0.00329385614327826,6.07726924617413e-05,-1.06974411275013,-0.0365862334060513,-0.758279027571255,-1.50703681458836,0.779845232441504,1.21665043231004,0.463499459099276,0.405142739657232
"Kcnip2",0.161141870276695,-1.07149787042922,0.247995779238558,-4.32062946280428,1,0.000300899384435966,0.00101398332113377,1.55584742396186e-05,-0.822482392205532,-2.19239240212739,-1.06064345412365,-1.00753184625456,0.548502170899264,0.925731778214601,0.418280073963662,0.339220444092078
"Ap1s1",0,-1.05248698794959,0.153081347387468,-6.8753444225025,1,0.000334125809461515,1.29862787190405e-09,6.18394224716212e-12,-1.21948801789156,-0.867909656837667,-1.23990337008306,-0.893839565308437,0.387936810736234,0.659497098595253,0.272343272343889,0.22223916739631
"Slc8a2",0.174547812628394,1.04155374150587,0.20253906027366,5.14248333185006,0.700080382905654,0.000131570457637752,2.28580418115204e-05,2.71130503604056e-07,0.923213006021883,0.267373014671812,1.0670407585577,1.32287934561148,0.383177303756909,0.592330026839464,0.330013412828787,0.285302326462236
"Cpne7",0,-1.01074928921919,0.163775355877239,-6.17155910793325,1,0.000538791497689219,1.06501252816749e-07,6.76198430582531e-10,-1.18524076148674,-0.682624798588027,-1.50253499408874,-0.74600423860315,0.465432676399748,0.786184637532675,0.30857434095026,0.220615669305323
"Sms",0,-0.996126542925764,0.220874660658191,-4.50991770607537,1,0.000220232778302485,0.000453969452054448,6.48527788649211e-06,-1.73821723161556,-0.946978203767469,-1.3356521407263,-0.57380285702192,0.569166060575111,0.89967773768813,0.406907967513128,0.314100585127058
"Kcnab1",0,0.994827071435441,0.269300637898,3.69411331217211,0.626064135147421,7.27949790577648e-05,0.00947815226697457,0.000220655396691471,1.52982967324666,0.104436354092451,0.916864133166768,0.887720946086613,0.533676684383772,0.945013748461839,0.541364063475116,0.417181008508239
"Bcl7a",0,0.911855514676606,0.237515364485053,3.83914327670364,0.85250472887885,0.000137853182152924,0.00614072788217416,0.000123464370117787,0.529061047668318,-0.32705061649458,1.16955608183591,1.00641716169099,0.546149618785145,1.15065266234387,0.418538685573793,0.355563524846038
"Cplx1",0.100991978731456,-0.889414820642596,0.158865800374925,-5.59852918969072,0.603448768783622,0.000487757513187564,2.55360270304261e-06,2.16178006606782e-08,-0.943380752715901,-1.61949377799024,-1.1143409736579,-0.61043180743289,0.385939614482758,0.637242361541221,0.258604276040309,0.213243500975919
"Hint1",0,-0.867884269132071,0.149028836815969,-5.8235995641823,0.626711400476629,0.000297557627776507,8.37320545207158e-07,5.75934766544606e-09,-1.3939464859717,-0.952876487144963,-1.22342947878173,-0.514077948869937,0.37385128743206,0.678006858447963,0.285864299106776,0.206467963320239
"Pcsk2",0,0.847002761564189,0.150363765803862,5.63302439943569,1,0.000519973258566609,2.23116255870792e-06,1.77076393548248e-08,0.922227998954872,1.10524928915798,1.01968803431908,0.608236742878796,0.315194358931271,0.510423482680428,0.273704042427254,0.242699676050765
"Dkk3",0,0.824958707088199,0.117492749923278,7.02135840404528,0.900371844704722,0.000493539794392677,5.19072285154465e-10,2.19713136573318e-12,0.906336566342726,0.478473565811901,0.953826399699472,0.747782185784556,0.244229258666229,0.402869783437339,0.211831225143007,0.191641903477062
"Enc1",0.147171144329864,0.822705311999553,0.112640252116319,7.30383052720778,1,0.000953957016470497,1.05755404433694e-10,2.79776202205539e-13,1.05096581410627,0.469496596178968,0.821135878335968,0.792855896319201,0.170004567338036,0.271657179791115,0.151211471357463,0.129042312085341
"Lynx1",0,-0.779993272135375,0.206087637655057,-3.78476497188495,1,0.000272686739866618,0.00709228989020374,0.000153853907671087,-1.77275144538074,-0.854178145970833,-0.750244009461087,-0.489162817172819,0.529207309248385,1.04311506502332,0.367908290835649,0.292762553395756
"Nefl",0.245909651583107,-0.757070580497162,0.167823946026738,-4.51109986638346,1,0.00165767419299743,0.000453969452054448,6.44923465431546e-06,-0.996669603818375,-0.220803367050365,-0.96277645648124,-0.619055071074865,0.256879930604297,0.404484590051297,0.180666620611363,0.14214729777824
"Ak5",0,0.726722944526031,0.14533114908864,5.0004623859596,1,0.000421140166781396,4.5039476118669e-05,5.71929855475162e-07,0.618724038248145,0.799236654409864,0.744243345975182,0.745198213939389,0.343498081754326,0.50516281242867,0.255831096352737,0.225456968661335
"Mef2a",0.128173354944923,0.721588113795638,0.189659451907868,3.80465147682789,0.699241938395378,0.000485620724214517,0.00670968858411142,0.000142003991198125,1.30345596250713,0.373886294441933,0.717980771413228,0.444155659902343,0.367245507827311,0.57042262215265,0.325394595983019,0.287551405711993
"App",0,0.686149462678001,0.0418389662074329,16.3997709521824,0.511031525314753,0.00209861808797689,0,0,0.737067732324315,0.617613328289121,0.653311332638824,0.700998533640604,0.0925721889694169,0.138999724416861,0.0754543603728485,0.0663469552912371
"Cdk5r1",0,0.684463160968323,0.127558129645675,5.3658921063643,0.878779984871864,0.000548802028942734,8.01261363469445e-06,8.0550084158304e-08,0.744483651409433,0.57502827754113,0.656473042240685,0.700293915422953,0.282555417564975,0.437421460996161,0.224204631030201,0.204922047939977
"Malat1",0,0.665198513870708,0.13843656246947,4.80507823948175,0.705984871468982,0.00941945185429662,0.000116946396896811,1.54691001186258e-06,0.509368014375527,1.09381842314032,0.841264334292985,0.548914874208681,0.315701098934501,0.48196993474793,0.266424196907729,0.205182948239685
"Drap1",0.0156330298840757,-0.649140604432556,0.150874440184397,-4.30252204176655,0.687606591981711,0.000166646008000724,0.00106384865397646,1.6886486571055e-05,-0.740650192227358,-0.000574599021365941,-0.895408400218914,-0.541377122723981,0.359990761639897,0.595899450299807,0.273389851081316,0.222618918167793
"Sqstm1",0,0.610230615593032,0.110505563089278,5.52217099785305,0.709418350219747,0.000270188318286176,3.51578197554936e-06,3.34836378623748e-08,0.761357596727878,0.530737992917276,0.590516749868676,0.560506350991252,0.238136652326097,0.409508891869862,0.205932392351231,0.169728647083967
"Map2k1",0,0.530879408265904,0.129385020436034,4.10309792027557,0.517637421462203,0.000317687832539105,0.00240771005000168,4.07654611640496e-05,0.460989056518639,0.684010345168333,0.666132791559056,0.417764679656747,0.284486043273254,0.422138277138236,0.229177767620535,0.209757033181564
"Ppp3ca",0.190650346850267,0.463821204895492,0.111920535969231,4.14420106979297,1,0.00804543391618972,0.00207900275120635,3.41000451256068e-05,0.430967559830718,0.11368297811386,0.626064413441095,0.558933164909275,0.118099065356421,0.178200240191629,0.0934454687407519,0.0835096488327703
"Nsg1",0,-0.460759162384763,0.1202723650576,-3.83096451262182,1,0.000375975264708697,0.00618572362727973,0.000127641916118471,-0.501422242207132,-0.325089344612697,-0.581288216347931,-0.384434015336122,0.296452439975602,0.469058578903258,0.216110838779971,0.177345577948508
