"","Z_score","log_fc","conv","p_val"
"Cmss1",5.04305356177846,0.221596934987525,TRUE,6.4142530957767e-06
"Actb",5.01302729328955,0.276895916075917,TRUE,7.50124105763916e-06
"mt-Nd1",4.97829218932178,0.217283125303888,TRUE,8.9806874061793e-06
"Tspo",4.97712259916563,0.378411216605262,TRUE,9.03510273353447e-06
"Rpl8",4.96169211213744,0.130167625958514,TRUE,9.78343874669108e-06
"Kpnb1",4.95111352868969,0.700547903795212,TRUE,1.03306054306529e-05
"Nolc1",4.92171282249821,0.647539664233521,TRUE,1.20106056038516e-05
"Ddb1",4.85111951595038,0.520966211748334,TRUE,1.7187315158651e-05
"mt-Co1",4.82552078621996,0.229240749898768,TRUE,1.95493059345075e-05
"Rpl26",4.80121407196555,0.23415714544518,TRUE,2.20789194367299e-05
"Plcb1",4.7642062270107,1.3261288529045,TRUE,2.65437928490542e-05
"Neat1",4.75851959880233,0.438407413767006,TRUE,2.73025143848749e-05
"Vegfa",4.7562520324142,0.956267505715923,TRUE,2.76108313781442e-05
"Hsp90ab1",4.73418580086604,0.247628425027009,TRUE,3.07910658405852e-05
"Rpl41",4.73135758340057,0.348273550610728,TRUE,3.12232562964532e-05
"Krt8",4.6933100977746,0.400958811427456,TRUE,3.76347342454508e-05
"Rps19",4.66300944911093,0.393401651262124,TRUE,4.36265814673931e-05
"Mt2",4.64187065741685,0.352573452698055,TRUE,4.83376568496396e-05
"Eprs",4.63155005249699,0.567758033804761,TRUE,5.08113522563747e-05
"Hspa9",4.60766993521677,0.318068921525644,TRUE,5.70088923939061e-05
"Igfbp6",4.58073287632069,0.789704831099648,TRUE,6.48689094009391e-05
"Eef1b2",4.5795063219803,0.153251370623318,TRUE,6.52504582565605e-05
"Prune2",4.55459154936373,0.423580744768643,TRUE,7.34824476968932e-05
"Anxa8",4.52113916880373,0.437193033309236,TRUE,8.61108258707333e-05
"Dnajc10",4.5190158389303,1.0283254113283,TRUE,8.69788464439303e-05
"Pdgfa",4.50886868764524,0.67492536265481,TRUE,9.12439224687311e-05
"Capns1",4.50629223746251,0.18861264647245,TRUE,9.23583026284369e-05
"Ddx21",4.4922791504955,0.81982470293042,TRUE,9.86509665472646e-05
"Sqstm1",4.47448737409912,0.35495425712411,TRUE,0.000107232793130851
"Mtss1",4.47393541680871,0.824085016433001,TRUE,0.000107510123196874
