"","sig_p","mean_est","sd_est","Z_est","ct_prop","expr","q_val","p","mean 1","mean 2","mean 3","mean 4","sd 1","sd 2","sd 3","sd 4"
"Gprin1",0,-0.814447736295663,0.164691837331853,-4.94528295688726,0.807445541963576,0.000127548892147255,3.96738080570109e-05,7.60333422222814e-07,-0.698230043770221,-1.04479204372329,-0.629239742533423,-0.91431659672978,0.328854997701726,0.316095877391119,0.308790000239878,0.374611834881247
"Kif5a",0,0.779026280325041,0.108102688570275,7.20635435277465,0.691749884626872,0.000419207098198673,1.29935075045119e-10,5.74651437545981e-13,0.746232240935974,0.726853404519476,0.559802420772358,1.0332012734797,0.209296757221887,0.220290857810547,0.230810583747294,0.206879241727862
"Arhgef28",0,-0.769923717551963,0.164290272073923,-4.6863621797737,1,0.000179329936275069,0.000125764782884779,2.78103942497054e-06,-0.908319573435358,-0.953854375049205,-0.503021110177834,-0.630959170129858,0.31942063423247,0.304856152329219,0.350020190504196,0.346570342784607
"Meg3",0.162959078056836,0.762101258565058,0.118865933333521,6.41143544826009,0.931045089346106,0.00762951831172952,1.95571366508792e-08,1.44155798409429e-10,0.7734862157176,0.440168872978696,1.00263683614238,0.857906578665945,0.165197014932906,0.171872562747855,0.195525946711487,0.161976631636393
"Cend1",0.102396033383482,0.714567553885811,0.116160119139855,6.15157387214351,0.631286456846796,0.000258560454929835,8.67337210694627e-08,7.67177876781489e-10,0.438645109953247,0.630286024939837,0.745459029934175,0.996784604935894,0.215491280551281,0.205169914873413,0.224109977077183,0.192390676594874
"Psd",0.156159851252139,-0.676139779813608,0.144534342929236,-4.6780562052622,0.795805698999684,0.000234382805792633,0.000128119694814845,2.8960717255444e-06,-0.866601647877553,-0.839119174211437,-0.256791648038964,-0.799856078270103,0.232393227172287,0.24992954176179,0.225324565517445,0.269744307515537
"B3gat1",0,-0.668144737808311,0.150088151180716,-4.45168211182654,1,0.000150975902380451,0.000315240858081989,8.5200231914051e-06,-0.610891205243765,-0.364756990064191,-0.977837297676988,-0.76588386543614,0.292883338807129,0.285570727024947,0.298001304096866,0.329481921400554
"Sphkap",0,-0.664014039640412,0.161933058137694,-4.1005465300099,0.712918009133643,0.000190233004268248,0.00127087460367418,4.12175547137572e-05,-0.866610169587357,-0.641352029786024,-0.565620106126813,-0.606592138847626,0.339810832661521,0.308501602719128,0.309685964398112,0.34216876221416
"Ddn",0.107400228202694,-0.661912271706367,0.115780133703765,-5.71697622495355,0.585576783171422,0.000279579769819364,9.59425366206885e-07,1.08436282175717e-08,-0.451168680579098,-0.945986964043169,-0.783906260458371,-0.510453880037696,0.18531534783197,0.215652099476186,0.205476933721059,0.217705270295155
"Tubb3",0,0.654324921452634,0.0860152231928217,7.60708276005775,0.675303643563859,0.000256213840853089,1.42336142872068e-11,2.79776202205539e-14,0.569365104904769,0.731302634740144,0.594561138474999,0.710324143994651,0.1701897138972,0.174442707453522,0.184747471244324,0.161216895717059
"Cycs",0,0.653491433895391,0.179858829767078,3.63335753235847,0.903305266558129,4.81259150364571e-05,0.00618810197555827,0.000279756944349563,0.752257387355578,0.728981314799375,0.476708030486581,0.658778017623694,0.37222183398438,0.359133079379918,0.362908231035549,0.346089442539454
"Arl15",0.0275582738766633,-0.645707885141429,0.150702317772848,-4.28465795804611,1,7.39068855901177e-05,0.000610568519901534,1.83020539135104e-05,-0.560060355406002,-0.969402084185682,-0.280586714285124,-0.821209067784954,0.277792176991692,0.305069740210648,0.30002176834919,0.32285410744121
"Klhl2",0,-0.642771020391418,0.128046249421939,-5.0198348119776,0.517532568567381,0.000164498164727144,3.00691207876394e-05,5.17159325585936e-07,-0.631179606074691,-0.497811304372937,-0.782783364177948,-0.679360500663954,0.253578076712506,0.242908683131828,0.254678725394475,0.276563322128032
"Cacnb4",0,0.634487517841782,0.137698354110867,4.60780756559319,0.634296422902614,0.000336958100623977,0.000172524335034531,4.06937006469654e-06,0.467427247461511,0.854542090483067,0.360615413917255,0.774033071516769,0.279695826976708,0.25362020445383,0.296835084257806,0.276695017176733
"Sowaha",0,-0.623984933324395,0.15370843957983,-4.05953593068858,0.582508291850208,0.00020152441586719,0.00147149478046699,4.9170341558602e-05,-0.581912230026528,-0.872000616120481,-0.569251939730255,-0.451716308085957,0.282935567634165,0.30548379295691,0.318129853035825,0.329022324969506
"R3hdm2",0.0326546065957813,0.600282925779281,0.158469640020929,3.78799955436259,1,0.000177750521821754,0.00372344003755871,0.000151865121924999,0.316643615206427,0.594323550661125,0.398515245476289,1.03412209073651,0.314762932232776,0.288857109781442,0.358430040054812,0.310155671804883
"Snn",0,-0.596021011624069,0.130663531585379,-4.56149473684332,0.546725910509506,0.000121380278964108,0.000206718350707136,5.07907495594928e-06,-0.732211520855703,-0.499281978149639,-0.546245871847297,-0.623754312556491,0.269912852651518,0.2575663457496,0.250332134003355,0.269049261176392
"Tmem158",0,-0.590986994942578,0.157303913704238,-3.75697578671658,1,0.000144370926411808,0.00416639915129058,0.000171979129586441,-0.429756737014547,-0.785841829540448,-0.795358248651612,-0.429651724789685,0.291257672244907,0.316861540986765,0.350836778216293,0.308014136388215
"Thra",0.107260836814387,-0.587764038257888,0.098121882659997,-5.99014228349607,0.92236297848537,0.000696774472127842,2.24554255424143e-07,2.09657535776842e-09,-0.315813440041441,-0.691526493260216,-0.766175685861717,-0.601007773806587,0.152538294236287,0.168325334362132,0.157367035656637,0.181854331116759
"Iqgap2",0,-0.586809329193293,0.129690393488461,-4.52469387600019,0.849903216959656,0.000308052061568235,0.000236697841439311,6.04829865102907e-06,-0.391339858186251,-0.897479549183988,-0.589275752875196,-0.463068459920916,0.24510786256991,0.249268282239259,0.284485007282947,0.263897081101978
"Ktn1",0,0.583731905121446,0.157356953071347,3.70960350799864,0.652022554208162,0.000419471825333824,0.00485555861654267,0.000207584078446788,0.522315825749645,0.649770552070457,0.354482443910011,0.717544100646307,0.317732124654072,0.302012283258057,0.364862708649993,0.288615870562005
"Dlg4",0,-0.580110652684042,0.155861155627569,-3.72197068825935,0.912163855356055,0.000119475161949175,0.00467751787672161,0.00019767397415138,-0.592369372773417,-0.689858302437488,-0.613434531563633,-0.429494030210404,0.311431027446423,0.306545611994281,0.324199952763334,0.305733172718432
"Nap1l1",0,0.578337761713005,0.130663460670711,4.42616289775525,0.952945166080967,0.000205804847870155,0.000342465854971887,9.59240969700126e-06,0.685373179833059,0.609265253522422,0.697930768168568,0.28557796297912,0.238722753828331,0.261814501881729,0.276078069457114,0.274037405192397
"Ppp3ca",0.128565057135531,-0.567081324061906,0.0734757558966194,-7.7179379394176,0.925468429893889,0.00744579509423115,7.98287362139642e-12,1.17683640610267e-14,-0.391054253657492,-0.748785575408709,-0.589616996282557,-0.54866849015807,0.0647338697704929,0.0727824300751678,0.0749455453929879,0.0721986011525709
