"","sd","sd_lfc","p_val","log_fc","X1","X2","X3","X4"
"Psme3",0.137550686015102,0.84799218739489,0,1.49566273107395,-9.54207565720411,-9.96041190352351,-8.76322487469236,-8.04641292613016
"Psmf1",0.0668819912789416,0.410103034491038,0,0.647876540320839,-6.98970929077328,-7.63758583109412,-7.37219956416137,-6.70877619921144
"Pwwp2b",0.0687816702295415,0.431662100184588,0,0.855209187108456,-6.89840744968803,-7.75361663679649,-7.28850554231493,-6.80706171600338
"Rab3il1",0.0835939930248855,0.323723609102352,0,0.708426530549143,-8.47072322403355,-8.40850484594201,-8.30776478043885,-7.76229669348441
"Rai14",0.0720104039986766,0.608904166581414,0,0.612932117605092,-8.07119185895838,-8.92159794487038,-7.94309952513875,-7.45825974135329
"Rasa3",0.131388915836848,0.829914016317003,0,1.44958343258567,-9.51356062889377,-10.0094812743975,-9.36771945818608,-8.0639771963081
"Rbm28",0.0560048465924965,0.505423943398435,0,0.466363803433937,-7.7884302496971,-8.52771517980886,-8.06967159383575,-7.32206644626317
"Rcc1",0.0479374072153662,0.235777406286419,0,0.508679111731293,-7.52663559127294,-7.28835072817713,-7.3145566105415,-7.79702983990843
"Rnaseh2a",0.0562211983511941,0.355584108912762,0,0.559793789815966,-7.15527830740385,-6.88535667719773,-7.0841643707281,-7.71507209721981
"Rnf133",0.112112243021214,0.575816919174159,0,1.36565179954073,-7.96401642753085,-8.84226928167467,-7.87299637257045,-7.47661748213394
"Rnf139",0.0502494542809441,0.393223781429233,0,0.720019442677612,-6.99845559100022,-6.81819017728137,-7.0625422277014,-7.71847503367783
"Rnf148",0.21367929662469,0.901900792545026,0,1.77564759614041,-10.0676997839212,-9.44396917890738,-8.29205218778082,-8.2239938250772
"Rnf151",0.0901770810776972,0.797491025227241,0,1.32284190690737,-7.97552181528483,-7.84005344760747,-6.65267990837746,-6.42571226833316
"Rnf19a",0.0678955419479817,0.390835151040676,0,0.593537683038899,-7.52607921499309,-7.31704709712876,-7.26857698203318,-8.11961689803199
"Rnf38",0.0406878874791751,0.371891586360041,0,0.576345099051854,-6.67477438540092,-6.39113933505556,-6.56953984798852,-7.25111948445277
"Rnf4",0.163252450322824,0.792490398166138,0,1.57235177802501,-9.36578788225078,-8.95378130410924,-7.79343610422577,-7.84437934516129
"Ropn1",0.09414357049864,0.571251144977144,0,1.0052096972492,-7.91213359959493,-7.63626209724699,-6.90692390234573,-6.71961032160639
"Rpl41",0.0962959687023969,0.430035308752793,0,0.884997269014447,-8.30669407408753,-8.07019770979101,-8.01993816485376,-8.95519497880546
"Rundc3a",0.100574123327134,0.452562056537611,0,0.938325403789106,-8.90502189252387,-8.49076006265682,-8.46245575338152,-9.42908546644592
"Samd4",0.107444389381649,0.881123583704262,0,1.42804356419781,-8.60935759222391,-8.37180801323862,-7.1813140280261,-6.81151131299563
"Satl1",0.0870886898947297,0.364795939833655,0,0.810383725469981,-8.37083500078647,-8.23747933066764,-8.38233753431634,-9.04786305613762
"Saxo1",0.175860377800023,0.964296779847098,0,1.81557472351362,-9.66780595716333,-9.44827345368927,-7.85223123364972,-7.94021332694681
"Scand1",0.103336859296208,0.500762161511977,0,0.875094028428701,-8.78451403767665,-8.94507183584512,-8.12855193171299,-7.90942000924795
"Sclt1",0.0697507626731409,0.386429275998758,0,0.643101867428774,-7.77350939996966,-7.59380883752809,-7.31698237392627,-8.23691070495686
"Scp2d1",0.160092563023701,0.78981486364083,0,1.5159126724667,-9.23844912158648,-8.59355767976661,-7.72253644911978,-7.54254146811909
"Sdccag3",0.0686637377732091,0.429501432606715,0,0.571040083491851,-7.84976002980064,-8.19712664547458,-8.87498859362301,-8.42080011329249
"Sec14l1",0.0811963156825531,0.416570318605742,0,0.802523708241029,-7.97286751878758,-7.82039942484355,-8.59670350828349,-8.62292313308457
"Sept4",0.129536018385672,0.57117394469489,0,1.1545410191986,-9.51330581768024,-9.50056015708912,-9.48895249128048,-8.35876479848164
"Sh3d21",0.0528117309864872,0.59428879124394,0,1.06711764201046,-7.54101438323612,-7.75346208502174,-6.85754305796816,-6.47389674122566
"Sh3glb1",0.0497501852717205,0.324546176927168,0,0.477059926477651,-6.370861235639,-6.84792116211665,-7.15923227916042,-6.82205259074738
"Sh3kbp1",0.114066897334315,0.591807195395993,0,1.21351764593055,-9.26540968248002,-9.18005461403884,-8.41109955726214,-8.05189203654947
"Sh3rf2",0.0473498681632617,0.350861208878299,0,0.734426871519807,-6.35870211222114,-7.09312898374095,-6.8489085613714,-6.42140008447829
"Skp2",0.0856771668011933,0.357671510858137,0,0.742931377519133,-7.78692541424484,-8.54383565088008,-8.15201314903991,-7.80090427336095
"Slc16a7",0.110402126958928,0.597145551487641,0,1.28447454027175,-8.85241607713938,-8.41873777018555,-7.7432743597778,-7.56794153686762
"Slc25a39",0.053758914026862,0.382012321144036,0,0.727966604688551,-6.96035626744476,-6.86652129914631,-7.38181549252469,-7.68832287213331
