"","sd","sd_lfc","p_val","log_fc","X1","X2","X3","X4"
"Ccdc113",0.119691219823328,0.308978236247186,3.56442741988872e-09,0.741127533185535,-7.372574251341,-7.61029506931861,-7.70079216155757,-8.11370178452654
"Etnk1",0.165804209669454,0.597662174193813,3.59665097704465e-09,1.02642380940102,-10.1222283112081,-9.82047445770159,-9.21004954180814,-8.79405064830057
"Zswim2",0.136895189417027,0.355689427456487,3.67505892384656e-09,0.846994833609047,-7.79718660558801,-8.18273067691825,-8.37085992401114,-8.64418143919706
"Nabp1",0.0930233629100813,0.315446631875362,3.9092542536423e-09,0.574645136275689,-8.14625167894372,-8.01259496768271,-7.72294689262973,-7.43794983140702
"Taf3",0.264997118907344,0.681080486076152,4.68662042507617e-09,1.62939329168887,-8.35645337059892,-9.09516915869064,-9.98584666228778,-9.42937648946027
"Abhd2",0.11600208466513,0.489815296467077,4.94701213327176e-09,0.712268723312677,-9.19408799093994,-9.06167115748755,-8.34940243417487,-8.22862453679324
"Hyal5",0.155407609676916,0.432541919389352,5.26042809312344e-09,0.952706468972062,-9.20911014740834,-8.61392785498708,-8.33159655785934,-8.25640367843627
"Spata9",0.0960075223150997,0.323088576601126,6.17605033781388e-09,0.586106024499758,-8.75781023260771,-8.62559609377174,-8.30764366901172,-8.03949006927198
"Pknox2",0.135894241868389,0.354902643910334,6.24596507847741e-09,0.829361811873854,-9.03844992633109,-8.50934459788423,-8.20908811445724,-8.40225717364403
"Allc",0.0798893996462269,0.204971474080185,7.23586124351527e-09,0.485683375273014,-7.29062216783581,-7.04266564007758,-6.80493879256279,-6.94229175831906
"Lmnb2",0.152573401413255,0.414984906325359,8.90594531455235e-09,0.922467676536161,-8.73527900001078,-8.20830382346163,-7.90904183533815,-7.81281132347461
"Dad1",0.103955429657283,0.365829939338743,9.23804632790848e-09,0.627906779437922,-7.53381636471934,-7.79714979380603,-8.16172314415726,-8.35070783349733
"Fam217a",0.106818679262993,0.299597185763039,9.83629844242273e-09,0.644118887222115,-7.49550334862554,-7.40003905055855,-7.36503190684706,-8.00915079406918
"Msl3l2",0.139356949741252,0.425108948998945,1.17987126735386e-08,0.836218927409869,-9.37756270541969,-9.34883778518433,-9.36113240190536,-8.51261885777446
"Sept4",0.135192277680187,0.339266312651245,1.21336114489168e-08,0.810614001098651,-8.86009724700497,-8.40639509102864,-8.04948324590632,-8.58100069444498
"Lrrc18",0.0700755722137292,0.19506470665213,1.21792416152289e-08,0.420130963115382,-7.08413461693551,-6.77676209666727,-6.66400365382013,-7.00322250826123
"Toporsl",0.158976615080407,0.497384820281703,1.31083877086269e-08,0.951227087610819,-8.02929463561245,-8.20806628124403,-8.54108074415689,-9.15929336885485
"Ccpg1os",0.0728911575357578,0.25580449740665,1.36702609232486e-08,0.435641554966418,-8.07832599767863,-7.9428392490563,-7.99855913971975,-7.50719769408988
"Fgfr1op",0.148904748364916,0.407156549290432,1.38045175290813e-08,0.889707441540947,-8.87783571901572,-8.99096926547482,-8.85053028625426,-8.10126182393387
"Crls1",0.0982463349535918,0.294392089939071,1.7369782945309e-08,0.583332307165065,-8.99886338559398,-8.95152276129832,-8.36819045413325,-8.63996916872077
"Clip1",0.0823914000012941,0.222532429790701,1.75390675316578e-08,0.489063416363035,-7.61548116302002,-7.43645754386157,-7.2062033804704,-7.12641774665698
"Trim41",0.208112000172961,0.60878086147375,1.82070185594796e-08,1.23404604584009,-9.36947934681327,-10.1074494028949,-10.1240597280646,-8.87340335705478
"Tescl",0.104107187516603,0.263145077417739,1.96807024011036e-08,0.615994654105392,-8.20542238005022,-7.81657462292102,-7.58942772594482,-7.73555059998332
"Aptx",0.0851534573640138,0.266648570070182,2.13736521814667e-08,0.502689320232626,-8.01223765393538,-7.96807818509317,-7.6194766265375,-7.46538886486054
"Sphkap",0.158549123579891,0.636624597539521,2.1938271199673e-08,0.935286530947955,-10.2514475513758,-9.65351306300844,-9.71045956474186,-8.71822653206049
"Tbpl1",0.119183771037352,0.306104605064033,2.72696079051116e-08,0.698778138139803,-7.27920753963251,-7.47799739084922,-7.7490214538437,-7.97798567777231
"Ndrg3",0.115955612022763,0.282158801680011,2.82016916486327e-08,0.679204202288942,-8.13328397166158,-7.69926399691844,-7.45407976937264,-7.81684058403716
"Gm29508",0.246931530716098,0.657528399190029,2.95428828067656e-08,1.44448196757881,-9.94130472721527,-8.90865592261834,-8.49682275963646,-8.6128932777088
"Tesk1",0.0815642606354035,0.193157120181323,4.69699599214835e-08,0.470798185441237,-6.7329326317599,-6.9724376036087,-7.20373081720114,-7.00786341666462
"Plk1",0.108414252858337,0.418773154144494,4.90382561224578e-08,0.624991921544366,-8.79215718702301,-8.86323940779042,-9.48823132933479,-9.60491249695342
"Hdgfl1",0.114477212382529,0.492865013965087,4.93776100007892e-08,0.659810811312683,-8.03724609653724,-8.27564987756382,-8.9354606888765,-9.04408462433709
"Camk4",0.27624448542619,0.686398964180552,5.12946005670756e-08,1.59041088103223,-9.8089758905525,-8.56257897964613,-8.21856500952027,-8.73165946103125
"Pdzk1ip1",0.08934389756478,0.211666079852016,5.70789269183081e-08,0.512761428374852,-8.17558485198245,-7.94139234139345,-7.6628234236076,-7.9856734477252
"Ghitm",0.0899163582505687,0.323748029607225,5.82844146279626e-08,0.515728507057649,-8.0898926743653,-7.84079128857753,-7.63582572799697,-7.32506278151988
"Rnf148",0.193115408534362,0.523587026962448,5.9928704665424e-08,1.10673098913341,-9.43913857694744,-8.95057050253776,-8.33240758781402,-8.38175608093815
"Chchd3",0.128961293216399,0.311478478749179,6.30626697528669e-08,0.737952514470444,-8.30258013785428,-7.9281179511328,-7.56462762338383,-7.77366342996958
"Pphln1",0.0834156808078978,0.213971373721352,8.47521426372566e-08,0.473122247725641,-7.68398773154302,-7.64137149324158,-7.7916047386951,-8.11449374096722
"Sgms2",0.110847020167615,0.290652316765433,8.9270985270673e-08,0.627722097622343,-8.57429418613486,-8.13120596634468,-7.94657208851252,-7.97163213619935
