"","sd","sd_lfc","p_val","log_fc","X1","X2","X3","X4"
"Hnrnpm",0.295594180226945,0.64475438346704,5.88060598749607e-05,1.30697485701898,-9.70499585756007,-8.56574191412585,-8.3289672322291,-8.39802100054109
"Pbk",0.232568365727455,0.542114697168593,6.29463942076747e-05,1.02488146475336,-9.54256845615603,-8.69739414229048,-9.53312886762324,-8.51768699140268
"Pabpc2",0.0957138528844156,0.181972201001749,6.98738207880467e-05,0.419620873851049,-6.43111830281879,-6.62169844201458,-6.85073917666984,-6.51311424358643
"Cdca8",0.176885996995951,0.356234606261648,7.02226310993481e-05,0.775297378541271,-9.11073826078752,-8.42609080753684,-8.45532679254645,-8.33544088224625
"Ctnnbl1",0.127034525409474,0.231260904810677,7.31862064857758e-05,0.555652051453827,-7.83500236146802,-8.08255010058348,-8.01742025673335,-8.39065441292185
"Tbcc",0.197723929532394,0.672636503203674,7.37036830340543e-05,0.864545192753349,-8.30407897644194,-8.3500607527154,-9.69332581213485,-9.16862416919529
"Zc2hc1c",0.178321231584182,0.354311345236384,7.54666471634025e-05,0.778786697000157,-8.38777865846825,-8.67008319462589,-9.03747097464358,-9.16656535546841
"Prss40",0.273106924436099,0.808478428481392,7.83091696887617e-05,1.19053846103533,-8.71525474499529,-9.97395179927627,-10.6623282635301,-9.90579320603062
"Ccdc7",0.220535521777023,0.466374569895261,8.00870785555574e-05,0.926241344589073,-8.43475324897175,-8.99312856427825,-18.5709065421235,-9.36099459356082
"Spesp1",0.118113564932561,0.274775069101512,8.56291979602908e-05,0.512570531296803,-7.6346310547999,-8.09458598771279,-8.2587740273211,-8.1472015860967
"Cklf",0.121651799046802,0.304143109591137,8.63394883174884e-05,0.527704309965527,-7.9623660220835,-8.0402238845102,-8.55615645088282,-8.49007033204903
"Lrrfip2",0.1587101423351,0.292298025935973,9.71201698010127e-05,0.684340244633019,-7.69171368261965,-7.53096682860075,-7.79590194610823,-8.21530707323377
"Cfap97",0.149987120913903,0.277141354913453,0.00010113679596202,0.645382661132746,-6.86762555631472,-7.01413967703354,-7.51300821744746,-7.08731430427764
"Pink1",0.135189003614564,0.243641291080844,0.000102005363038948,0.581451449527899,-8.24507941910503,-7.95788587593815,-7.84579185461681,-7.66362796957713
