"","sig_p","mean_est","sd_est","Z_est","ct_prop","expr","q_val","p","mean 1","mean 2","mean 3","sd 1","sd 2","sd 3"
"Ift57",0,-0.674874432273953,0.167274964175651,-4.03452145752837,1,0.000122045693163575,0.000988270397023849,5.47136902973033e-05,-0.663131557648589,-0.740483616143159,-0.574287339715835,0.42207203080133,0.231686765782227,0.294936585847005
"Bag1",0,-0.640859913938999,0.188342986080471,-3.4026216068656,0.701001777079037,2.15043519781147e-05,0.00804499839765868,0.000667426458880627,-0.744593232614628,-0.844496305976596,-0.294689155811399,0.408846911935639,0.278921903820298,0.326964117658826
"Nptn",0,0.521663314384426,0.0961429235997927,5.42591482401676,0.907295624746863,0.000406809507594799,2.26789910377316e-06,5.76584517908429e-08,0.583642864259448,0.429143548965199,0.564402486744458,0.212235929624439,0.163644011799317,0.143382006873283
"Car8",0.0776352984366694,0.504206453298171,0.0696629472500084,7.23779962235391,1,0.00329398509408572,2.69086974924448e-11,4.56079618516014e-13,0.377318260333217,0.505900234126875,0.618630565792321,0.0963575160932287,0.0916013156040693,0.0893266454980027
"Gabbr2",0,-0.497232417406306,0.146491890508097,-3.39426582373733,1,0.000996141022936752,0.00804499839765868,0.000688128631701757,-0.723457890186336,-0.298666895787758,-0.544145396247199,0.268003954025563,0.228962885066864,0.27115457395913
"Icmt",0,0.465958686848707,0.0927986155565372,5.02118144817391,1,0.000105086546731991,1.81795346314129e-05,5.13546176028612e-07,0.504487514053284,0.546805875213838,0.374070813377809,0.205035548597942,0.151077178283799,0.143558141633168
"Sptan1",0,0.457462127154304,0.0994664572036993,4.59915975711751,1,0.000769507595099108,0.000100110820908039,4.24198393678132e-06,0.306768654813412,0.514188436287293,0.508223808078451,0.193611829675641,0.156530012623317,0.172554532006212
"Inpp5a",0.0945753459438167,0.444213613856843,0.109202287985667,4.06780500711804,1,0.0011224320411834,0.000933342002102489,4.74580679035164e-05,0.405582866144998,0.672791049028611,0.297438601147028,0.19343639492233,0.16936110709843,0.138051135207117
"Prkcg",0,0.418154595230428,0.118018868421006,3.54311645946947,1,0.000718194700460835,0.00499934017238899,0.000395428036234158,0.331838446351333,0.525154012483597,0.398183471548349,0.225818679012085,0.215468163198032,0.180639802898924
"Calm2",0.107388585004747,0.413342149418297,0.086987096316534,4.7517639617973,1,0.00064238482791351,5.09885646093571e-05,2.0164969054548e-06,0.228954537059886,0.415897735029375,0.532082839936284,0.131395841930105,0.10467857610075,0.0857167241443595
"Homer3",0.074205207603248,0.401594106252178,0.10221356207997,3.92897085357401,1,0.000439093108037888,0.00131303490765725,8.53101776161491e-05,0.17111726104282,0.473370239497614,0.491897091897229,0.185054372443966,0.163652955033471,0.140546272115864
