"","sig_p","mean_est","sd_est","Z_est","ct_prop","expr","q_val","p","mean 1","mean 2","mean 3","sd 1","sd 2","sd 3"
"Dpp6",0.17213081133074,0.835985059698625,0.118568461915584,7.05065281435304,0.812587870520238,0.00373721096293387,2.62845745169216e-10,1.78079773149875e-12,0.787126928106464,1.05073749800501,0.645182653926185,0.103981829328651,0.103324381667198,0.129156971316779
"Sipa1l1",0,0.832874725564281,0.182023192511078,4.57565167424252,0.982286916284394,0.000153280101466425,0.000245865280119162,4.74739870148788e-06,0.90563172156935,0.840994796519367,0.746533339304196,0.344053707275273,0.273598832961197,0.345545370161098
"Igfbp5",0,0.828172022663843,0.116073047424849,7.13492099188691,1,5.54130354679994e-05,1.50448916482865e-10,9.68336522078062e-13,0.631483385224306,0.88316823301708,0.931446409226426,0.217011915067444,0.193015704184108,0.195565036473412
"Maml3",0.223076268353421,-0.826011408453521,0.169943609542641,-4.86050290844425,1,0.000794680372014582,7.5139902290505e-05,1.17087923623416e-06,-0.719140890524489,-0.610273424952688,-1.16607550378423,0.197629467050809,0.18073575351294,0.198109638481896
"Sema7a",0,0.816223229548163,0.13199759999764,6.18362174435561,0.931646138680051,3.28397760346474e-05,6.60482337393782e-08,6.26473761755619e-10,0.866344154929619,0.688446624257902,0.896573392357707,0.240230153488312,0.22564091422197,0.221266574170297
"Tesc",0.0304008072943287,0.778228008794894,0.102429301779944,7.59770881253118,1,8.8384056573385e-05,5.57154322677889e-12,3.01980662698043e-14,0.645274500655713,0.743071529268569,0.991565533528627,0.16821604435976,0.16843097827318,0.190203167504907
"Kcnd2",0.0850726888314825,0.764721290795419,0.0660297482296577,11.5814661012434,1,0.0126397636307372,0,0,0.662893040755572,0.886744977872984,0.732138258684992,0.0765260106874381,0.0698388423085008,0.0834154207920372
"Rims3",0.278147234270725,-0.749108235367815,0.190102186039529,-3.9405556084034,1,7.77460239569909e-05,0.002666413761062,8.12931024714025e-05,-1.15065828358278,-0.55500251601778,-0.605194590283285,0.210554528868825,0.151833023805221,0.167163724198337
"Rgs7",0.0304824044140598,-0.743809864766689,0.0714880275138022,-10.4046774073195,1,0.00113148168880914,0,0,-0.814604338711292,-0.620111927570229,-0.856213795127765,0.131552803758218,0.105109218881993,0.128490269484617
"Ccdc74a",0,0.736666066358357,0.169388094240898,4.34898373265064,0.567759413654955,2.270241608958e-05,0.000611734264544336,1.36769855894059e-05,0.894117852077157,0.545548222296226,0.834761864997853,0.333122354357974,0.270460504927111,0.286647443911198
